compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
GCC10.1.0,O0,1024,1,5666,124
GCC10.1.0,O0,1024,2,5673,137
GCC10.1.0,O0,1024,3,5693,145
GCC10.1.0,O0,2048,1,50446,883
GCC10.1.0,O0,2048,2,50907,908
GCC10.1.0,O0,2048,3,55557,860
GCC10.1.0,O0,4096,1,450382,6508
GCC10.1.0,O0,4096,2,456726,5810
GCC10.1.0,O0,4096,3,468078,5870
GCC10.1.0,O2-novec,1024,1,2899,137
GCC10.1.0,O2-novec,1024,2,2816,134
GCC10.1.0,O2-novec,1024,3,3011,131
GCC10.1.0,O2-novec,2048,1,28558,881
GCC10.1.0,O2-novec,2048,2,28611,859
GCC10.1.0,O2-novec,2048,3,28809,867
GCC10.1.0,O2-novec,4096,1,291667,6209
GCC10.1.0,O2-novec,4096,2,291379,5075
GCC10.1.0,O2-novec,4096,3,281470,4923
GCC10.1.0,O3-vec,1024,1,2547,131
GCC10.1.0,O3-vec,1024,2,2497,134
GCC10.1.0,O3-vec,1024,3,2494,133
GCC10.1.0,O3-vec,2048,1,24356,851
GCC10.1.0,O3-vec,2048,2,24644,855
GCC10.1.0,O3-vec,2048,3,24599,871
GCC10.1.0,O3-vec,4096,1,278777,6088
GCC10.1.0,O3-vec,4096,2,267516,6469
GCC10.1.0,O3-vec,4096,3,264663,4860
GCC10.1.0,Ofast-vec,1024,1,2581,148
GCC10.1.0,Ofast-vec,1024,2,2474,138
GCC10.1.0,Ofast-vec,1024,3,2441,139
GCC10.1.0,Ofast-vec,2048,1,25473,887
GCC10.1.0,Ofast-vec,2048,2,25617,904
GCC10.1.0,Ofast-vec,2048,3,25811,904
GCC10.1.0,Ofast-vec,4096,1,270257,6367
GCC10.1.0,Ofast-vec,4096,2,267092,5920
GCC10.1.0,Ofast-vec,4096,3,267897,4686
