compiler,flag,size,my_dgesv_median_ms,ref_dgesv_median_ms
ICX2021.3.0,O2,1024,1916,91
ICX2021.3.0,O2,2048,22658,478
ICX2021.3.0,O2,4096,356030,3110
ICX2021.3.0,O3,1024,1969,75
ICX2021.3.0,O3,2048,22082,479
ICX2021.3.0,O3,4096,369784,3153
ICX2021.3.0,Ofast,1024,1915,90
ICX2021.3.0,Ofast,2048,21012,481
ICX2021.3.0,Ofast,4096,352261,3113
ICX2021.3.0,Ofast-ipo,1024,2388,106
ICX2021.3.0,Ofast-ipo,2048,28892,560
ICX2021.3.0,Ofast-ipo,4096,452793,3580
