compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
GCC11.4.0,O0,1024,1,5202,153
GCC11.4.0,O0,1024,2,5184,153
GCC11.4.0,O0,1024,3,5152,148
GCC11.4.0,O0,2048,1,45392,767
GCC11.4.0,O0,2048,2,50309,805
GCC11.4.0,O0,2048,3,50836,883
GCC11.4.0,O0,4096,1,442943,6671
GCC11.4.0,O0,4096,2,462009,6067
GCC11.4.0,O0,4096,3,760572,6026
GCC11.4.0,O2-novec,1024,1,2420,144
GCC11.4.0,O2-novec,1024,2,2366,144
GCC11.4.0,O2-novec,1024,3,2237,144
GCC11.4.0,O2-novec,2048,1,29044,862
GCC11.4.0,O2-novec,2048,2,30642,882
GCC11.4.0,O2-novec,2048,3,30574,873
GCC11.4.0,O2-novec,4096,1,396047,4849
GCC11.4.0,O2-novec,4096,2,364766,5024
GCC11.4.0,O2-novec,4096,3,336415,7168
GCC11.4.0,O3-vec,1024,1,2402,152
GCC11.4.0,O3-vec,1024,2,2255,154
GCC11.4.0,O3-vec,1024,3,2205,153
GCC11.4.0,O3-vec,2048,1,24553,863
GCC11.4.0,O3-vec,2048,2,27407,851
GCC11.4.0,O3-vec,2048,3,26814,866
GCC11.4.0,O3-vec,4096,1,308827,4774
GCC11.4.0,O3-vec,4096,2,330677,5951
GCC11.4.0,O3-vec,4096,3,328805,6347
GCC11.4.0,Ofast-vec,1024,1,2335,151
GCC11.4.0,Ofast-vec,1024,2,2253,151
GCC11.4.0,Ofast-vec,1024,3,2127,142
GCC11.4.0,Ofast-vec,2048,1,25673,833
GCC11.4.0,Ofast-vec,2048,2,29239,894
GCC11.4.0,Ofast-vec,2048,3,27857,899
GCC11.4.0,Ofast-vec,4096,1,272188,4571
GCC11.4.0,Ofast-vec,4096,2,443985,4970
GCC11.4.0,Ofast-vec,4096,3,441403,4737
