compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
GCC10.1.0,O0,1024,1,5693,121
GCC10.1.0,O0,1024,2,5624,116
GCC10.1.0,O0,1024,3,5622,115
GCC10.1.0,O0,2048,1,62734,835
GCC10.1.0,O0,2048,2,65898,843
GCC10.1.0,O0,2048,3,54286,844
GCC10.1.0,O0,4096,1,748912,5837
GCC10.1.0,O0,4096,2,834250,5835
GCC10.1.0,O0,4096,3,777985,5815
GCC10.1.0,O2-novec,1024,1,2785,139
GCC10.1.0,O2-novec,1024,2,2759,139
GCC10.1.0,O2-novec,1024,3,2693,137
GCC10.1.0,O2-novec,2048,1,28137,932
GCC10.1.0,O2-novec,2048,2,27539,924
GCC10.1.0,O2-novec,2048,3,28510,902
GCC10.1.0,O2-novec,4096,1,419684,5958
GCC10.1.0,O2-novec,4096,2,419880,6016
GCC10.1.0,O2-novec,4096,3,427688,5904
GCC10.1.0,O3-vec,1024,1,2146,121
GCC10.1.0,O3-vec,1024,2,2441,121
GCC10.1.0,O3-vec,1024,3,2183,121
GCC10.1.0,O3-vec,2048,1,24758,882
GCC10.1.0,O3-vec,2048,2,24297,893
GCC10.1.0,O3-vec,2048,3,24654,868
GCC10.1.0,O3-vec,4096,1,404111,5992
GCC10.1.0,O3-vec,4096,2,403335,6022
GCC10.1.0,O3-vec,4096,3,398808,6000
GCC10.1.0,Ofast-vec,1024,1,2125,131
GCC10.1.0,Ofast-vec,1024,2,2313,135
GCC10.1.0,Ofast-vec,1024,3,2220,125
GCC10.1.0,Ofast-vec,2048,1,23911,864
GCC10.1.0,Ofast-vec,2048,2,24155,869
GCC10.1.0,Ofast-vec,2048,3,23606,868
GCC10.1.0,Ofast-vec,4096,1,427419,5859
GCC10.1.0,Ofast-vec,4096,2,402093,5928
GCC10.1.0,Ofast-vec,4096,3,382961,5865
