compiler,flag,size,run,my_dgesv_ms,ref_dgesv_ms
GCC8.4.0,O0,1024,1,5673,119
GCC8.4.0,O0,1024,2,5618,116
GCC8.4.0,O0,1024,3,5563,114
GCC8.4.0,O0,2048,1,61194,825
GCC8.4.0,O0,2048,2,51182,837
GCC8.4.0,O0,2048,3,51773,828
GCC8.4.0,O0,4096,1,741966,5737
GCC8.4.0,O0,4096,2,753608,5809
GCC8.4.0,O0,4096,3,768546,5753
GCC8.4.0,O2-novec,1024,1,2625,120
GCC8.4.0,O2-novec,1024,2,2420,125
GCC8.4.0,O2-novec,1024,3,2486,125
GCC8.4.0,O2-novec,2048,1,26830,882
GCC8.4.0,O2-novec,2048,2,26562,877
GCC8.4.0,O2-novec,2048,3,27317,872
GCC8.4.0,O2-novec,4096,1,417593,5990
GCC8.4.0,O2-novec,4096,2,416141,5855
GCC8.4.0,O2-novec,4096,3,418297,5982
GCC8.4.0,O3-vec,1024,1,2152,121
GCC8.4.0,O3-vec,1024,2,2242,122
GCC8.4.0,O3-vec,1024,3,2245,122
GCC8.4.0,O3-vec,2048,1,22993,874
GCC8.4.0,O3-vec,2048,2,23783,878
GCC8.4.0,O3-vec,2048,3,23790,879
GCC8.4.0,O3-vec,4096,1,406457,5956
GCC8.4.0,O3-vec,4096,2,410306,5959
GCC8.4.0,O3-vec,4096,3,404245,5935
GCC8.4.0,Ofast-vec,1024,1,2049,117
GCC8.4.0,Ofast-vec,1024,2,2196,117
GCC8.4.0,Ofast-vec,1024,3,2052,116
GCC8.4.0,Ofast-vec,2048,1,22962,860
GCC8.4.0,Ofast-vec,2048,2,22418,862
GCC8.4.0,Ofast-vec,2048,3,22742,862
GCC8.4.0,Ofast-vec,4096,1,400211,5904
GCC8.4.0,Ofast-vec,4096,2,403756,5949
GCC8.4.0,Ofast-vec,4096,3,396528,5877
